PID,USER,PR,NI,VIRT,RES,SHR,S,[%CPU],%MEM,TIME+,ARGS
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.8G,185M,120M,S,0.0,3.3,0:05.38,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
31473,root,20,0,0,0,0,I,3.1,0.0,0:00.44,[kworker/2:5-ev+
19697,u0_a341,4,-16,8.4G,87M,45M,S,3.1,1.5,0:13.25,com.instagram.a+
16494,root,20,0,0,0,0,I,3.1,0.0,0:12.18,[kworker/u16:15+
20047,u0_a380,20,0,25G,208M,82M,S,3.1,3.7,1:50.12,com.truecaller
15012,u0_a212,20,0,24G,146M,80M,S,3.1,2.6,1:23.82,com.google.andr+
64,root,20,0,0,0,0,S,3.1,0.0,3:12.59,[rcuop/6]
14,root,20,0,0,0,0,S,3.1,0.0,5:45.73,[rcuop/0]
9104,u0_a211,20,0,6.4G,142M,97M,S,0.0,2.5,0:01.49,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.7G,185M,120M,S,0.0,3.3,0:05.38,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.33,com.android.ven+
8296,u150_a209,20,0,5.6G,69M,45M,S,0.0,1.2,0:00.32,com.google.proc+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
12909,root,20,0,0,0,0,I,3.1,0.0,0:09.68,[kworker/u16:7-+
5007,system,20,0,6.3G,56M,27M,S,3.1,0.9,6:14.58,com.sec.android+
1422,system,20,0,2.2G,2.5M,2.5M,S,3.1,0.0,0:18.91,smdexe
1315,system,18,-2,15G,313M,115M,S,3.1,5.6,213:01.16,system_server
48,root,20,0,0,0,0,S,3.1,0.0,3:03.73,[rcuop/4]
9104,u0_a211,20,0,6.4G,142M,97M,S,0.0,2.5,0:01.49,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.7G,185M,120M,S,0.0,3.3,0:05.39,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.33,com.android.ven+
8296,u150_a209,20,0,5.6G,69M,45M,S,0.0,1.2,0:00.32,com.google.proc+
8281,u0_a181,20,0,6.0G,115M,80M,S,0.0,2.0,0:01.73,com.sec.android+
8243,u0_a233,20,0,6.5G,76M,51M,S,0.0,1.3,0:00.48,com.samsung.and+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
19274,root,20,0,0,0,0,I,3.1,0.0,0:07.02,[kworker/u16:17+
6384,u0_a170,10,-10,7.7G,73M,46M,S,3.1,1.3,6:50.53,com.samsung.and+
3637,system,20,0,2.0G,1.7M,1.6M,S,3.1,0.0,3:55.10,argosd
1315,system,18,-2,15G,313M,115M,S,3.1,5.6,213:01.19,system_server
56,root,20,0,0,0,0,S,3.1,0.0,1:25.02,[rcuop/5]
14,root,20,0,0,0,0,S,3.1,0.0,5:45.74,[rcuop/0]
9104,u0_a211,20,0,6.4G,142M,97M,S,0.0,2.5,0:01.49,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.7G,186M,120M,S,0.0,3.3,0:05.39,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.33,com.android.ven+
8296,u150_a209,20,0,5.6G,69M,45M,S,0.0,1.2,0:00.32,com.google.proc+
8281,u0_a181,20,0,6.0G,115M,80M,S,0.0,2.0,0:01.73,com.sec.android+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
16494,root,20,0,0,0,0,R,3.1,0.0,0:12.24,[kworker/u16:15+
1315,system,18,-2,15G,313M,115M,S,3.1,5.6,213:01.23,system_server
9104,u0_a211,20,0,6.4G,142M,97M,S,0.0,2.5,0:01.49,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.7G,186M,120M,S,0.0,3.3,0:05.39,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.31,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.33,com.android.ven+
8296,u150_a209,20,0,5.6G,69M,45M,S,0.0,1.2,0:00.32,com.google.proc+
8281,u0_a181,20,0,6.0G,115M,80M,S,0.0,2.0,0:01.73,com.sec.android+
8243,u0_a233,20,0,6.5G,76M,51M,S,0.0,1.3,0:00.49,com.samsung.and+
8204,system,20,0,5.7G,81M,54M,S,0.0,1.4,0:00.47,com.wssyncmldm
8203,u0_a258,20,0,7.2G,152M,110M,S,0.0,2.7,0:05.55,com.phonepe.app
8183,u150_a204,20,0,5.7G,70M,45M,S,0.0,1.2,0:00.44,com.google.andr+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
19274,root,20,0,0,0,0,I,3.1,0.0,0:07.04,[kworker/u16:17+
56,root,20,0,0,0,0,S,3.1,0.0,1:25.03,[rcuop/5]
9104,u0_a211,20,0,6.4G,142M,97M,S,0.0,2.5,0:01.49,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.7G,186M,120M,S,0.0,3.3,0:05.39,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.31,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.33,com.android.ven+
8296,u150_a209,20,0,5.6G,69M,45M,S,0.0,1.2,0:00.32,com.google.proc+
8281,u0_a181,20,0,6.0G,115M,80M,S,0.0,2.0,0:01.73,com.sec.android+
8243,u0_a233,20,0,6.5G,76M,51M,S,0.0,1.3,0:00.49,com.samsung.and+
8204,system,20,0,5.7G,81M,54M,S,0.0,1.4,0:00.47,com.wssyncmldm
8203,u0_a258,20,0,7.2G,152M,110M,S,0.0,2.7,0:05.55,com.phonepe.app
8183,u150_a204,20,0,5.7G,70M,45M,S,0.0,1.2,0:00.44,com.google.andr+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
